;dataPath;timeStamp;id;typeID;encounter
0;1/Y2015M04D27h02m29s04PTZ1.jpg;27/04/2015 02:29;1;14;0
1;1/Y2015M04D27h02m29s04PTZ2.jpg;27/04/2015 02:29;1;14;0
2;1/Y2015M04D27h02m29s04PTZ3.jpg;27/04/2015 02:29;1;14;0
3;1/Y2015M04D27h02m29s04PTZ4.jpg;27/04/2015 02:29;1;14;0
4;1/Y2015M04D27h02m29s04PTZ5.jpg;27/04/2015 02:29;1;14;0
5;1/Y2015M04D27h02m29s04PTZ6.jpg;27/04/2015 02:29;1;14;0
6;1/Y2015M04D27h02m29s04PTZ7.jpg;27/04/2015 02:29;1;14;0
7;1/Y2015M04D27h02m29s04PTZ8.jpg;27/04/2015 02:29;1;14;0
8;1/Y2015M04D27h02m29s04PTZ9.jpg;27/04/2015 02:29;1;14;0
9;1/Y2015M04D27h02m29s38PTZ1.jpg;27/04/2015 02:29;1;14;0
11;1/Y2015M04D27h02m29s38PTZ3.jpg;27/04/2015 02:29;1;14;0
12;1/Y2015M04D27h02m29s38PTZ4.jpg;27/04/2015 02:29;1;14;0
13;1/Y2015M04D27h02m29s38PTZ5.jpg;27/04/2015 02:29;1;14;0
14;1/Y2015M04D27h02m29s38PTZ6.jpg;27/04/2015 02:29;1;14;0
10;1/Y2015M04D27h02m29s38PTZ2.jpg;27/04/2015 02:29;1;14;0
16;1/Y2015M04D27h02m29s38PTZ8.jpg;27/04/2015 02:29;1;14;0
15;1/Y2015M04D27h02m29s38PTZ7.jpg;27/04/2015 02:29;1;14;0
18;1/Y2015M05D07h04m11s01PTZ2.jpg;07/05/2015 04:11;1;14;1
17;1/Y2015M05D07h04m11s01PTZ1.jpg;07/05/2015 04:11;1;14;1
31;1/Y2015M05D12h02m35s32PTZ9.jpg;12/05/2015 02:35;1;14;2
29;1/Y2015M05D12h02m35s32PTZ7.jpg;12/05/2015 02:35;1;14;2
30;1/Y2015M05D12h02m35s32PTZ8.jpg;12/05/2015 02:35;1;14;2
28;1/Y2015M05D12h02m35s32PTZ6.jpg;12/05/2015 02:35;1;14;2
26;1/Y2015M05D12h02m35s32PTZ4.jpg;12/05/2015 02:35;1;14;2
25;1/Y2015M05D12h02m35s32PTZ3.jpg;12/05/2015 02:35;1;14;2
24;1/Y2015M05D12h02m35s32PTZ2.jpg;12/05/2015 02:35;1;14;2
23;1/Y2015M05D12h02m35s32PTZ13.jpg;12/05/2015 02:35;1;14;2
27;1/Y2015M05D12h02m35s32PTZ5.jpg;12/05/2015 02:35;1;14;2
21;1/Y2015M05D12h02m35s32PTZ11.jpg;12/05/2015 02:35;1;14;2
20;1/Y2015M05D12h02m35s32PTZ10.jpg;12/05/2015 02:35;1;14;2
19;1/Y2015M05D12h02m35s32PTZ1.jpg;12/05/2015 02:35;1;14;2
22;1/Y2015M05D12h02m35s32PTZ12.jpg;12/05/2015 02:35;1;14;2
33;1/Y2015M05D12h02m36s28PTZ2.jpg;12/05/2015 02:36;1;14;2
34;1/Y2015M05D12h02m36s28PTZ3.jpg;12/05/2015 02:36;1;14;2
32;1/Y2015M05D12h02m36s28PTZ1.jpg;12/05/2015 02:36;1;14;2
35;1/Y2015M05D13h04m35s40PTZ1.jpg;13/05/2015 04:35;1;14;3
37;1/Y2015M05D13h04m35s40PTZ3.jpg;13/05/2015 04:35;1;14;3
38;1/Y2015M05D13h04m35s40PTZ4.jpg;13/05/2015 04:35;1;14;3
39;1/Y2015M05D13h04m35s40PTZ5.jpg;13/05/2015 04:35;1;14;3
40;1/Y2015M05D13h04m35s40PTZ6.jpg;13/05/2015 04:35;1;14;3
36;1/Y2015M05D13h04m35s40PTZ2.jpg;13/05/2015 04:35;1;14;3
41;1/Y2015M05D13h04m36s35PTZ1.jpg;13/05/2015 04:36;1;14;3
42;1/Y2015M05D13h04m36s35PTZ2.jpg;13/05/2015 04:36;1;14;3
43;1/Y2015M05D13h04m36s35PTZ3.jpg;13/05/2015 04:36;1;14;3
44;1/Y2015M05D13h04m36s35PTZ4.jpg;13/05/2015 04:36;1;14;3
45;1/Y2015M05D13h04m36s35PTZ5.jpg;13/05/2015 04:36;1;14;3
46;1/Y2015M05D13h04m36s35PTZ6.jpg;13/05/2015 04:36;1;14;3
47;1/Y2015M05D13h04m36s35PTZ7.jpg;13/05/2015 04:36;1;14;3
49;1/Y2015M05D15h15m43s46PTZ2.jpg;15/05/2015 15:43;1;14;4
50;1/Y2015M05D15h15m43s46PTZ3.jpg;15/05/2015 15:43;1;14;4
51;1/Y2015M05D15h15m43s46PTZ4.jpg;15/05/2015 15:43;1;14;4
52;1/Y2015M05D15h15m43s46PTZ5.jpg;15/05/2015 15:43;1;14;4
53;1/Y2015M05D15h15m43s46PTZ6.jpg;15/05/2015 15:43;1;14;4
48;1/Y2015M05D15h15m43s46PTZ1.jpg;15/05/2015 15:43;1;14;4
54;1/Y2015M05D15h15m44s24PTZ1.jpg;15/05/2015 15:44;1;14;4
55;1/Y2015M05D15h15m44s24PTZ2.jpg;15/05/2015 15:44;1;14;4
56;1/Y2015M05D15h15m44s24PTZ3.jpg;15/05/2015 15:44;1;14;4
57;1/Y2015M05D18h11m33s08PTZ1.jpg;18/05/2015 11:33;1;14;5
58;1/Y2015M05D18h11m33s08PTZ2.jpg;18/05/2015 11:33;1;14;5
59;1/Y2015M05D20h05m30s51PTZ1.jpg;20/05/2015 05:30;1;14;6
60;1/Y2015M05D20h05m32s47PTZ1.jpg;20/05/2015 05:32;1;14;6
61;1/Y2015M05D20h05m32s50PTZ1.jpg;20/05/2015 05:32;1;14;6
71;2/Y2015M04D30h04m05s32PTZ5.jpg;30/04/2015 04:05;2;14;0
70;2/Y2015M04D30h04m05s32PTZ4.jpg;30/04/2015 04:05;2;14;0
69;2/Y2015M04D30h04m05s32PTZ3.jpg;30/04/2015 04:05;2;14;0
68;2/Y2015M04D30h04m05s32PTZ2.jpg;30/04/2015 04:05;2;14;0
67;2/Y2015M04D30h04m05s32PTZ1.jpg;30/04/2015 04:05;2;14;0
62;2/Y2015M04D30h04m06s14PTZ1.jpg;30/04/2015 04:06;2;14;0
73;2/Y2015M04D30h04m06s21PTZ2.jpg;30/04/2015 04:06;2;14;0
72;2/Y2015M04D30h04m06s21PTZ1.jpg;30/04/2015 04:06;2;14;0
63;2/Y2015M04D30h04m06s35PTZ1.jpg;30/04/2015 04:06;2;14;0
64;2/Y2015M04D30h04m06s35PTZ2.jpg;30/04/2015 04:06;2;14;0
66;2/Y2015M04D30h12m12s50PTZ2.jpg;30/04/2015 12:12;2;14;1
65;2/Y2015M04D30h12m12s50PTZ1.jpg;30/04/2015 12:12;2;14;1
75;2/Y2015M05D06h12m49s40PTZ2.jpg;06/05/2015 12:49;2;14;2
76;2/Y2015M05D06h12m49s40PTZ3.jpg;06/05/2015 12:49;2;14;2
74;2/Y2015M05D06h12m49s40PTZ1.jpg;06/05/2015 12:49;2;14;2
77;2/Y2015M05D06h12m50s51PTZ1.jpg;06/05/2015 12:50;2;14;2
78;2/Y2015M05D06h12m50s51PTZ2.jpg;06/05/2015 12:50;2;14;2
81;2/Y2015M06D03h12m54s13PTZ3.jpg;03/06/2015 12:54;2;14;3
80;2/Y2015M06D03h12m54s13PTZ2.jpg;03/06/2015 12:54;2;14;3
79;2/Y2015M06D03h12m54s13PTZ1.jpg;03/06/2015 12:54;2;14;3
82;2/Y2015M07D03h14m53s58PTZ1.jpg;03/07/2015 14:53;2;14;4
83;2/Y2015M07D03h14m54s06PTZ1.jpg;03/07/2015 14:54;2;14;4
85;3/Y2015M04D28h03m01s26PTZ10.jpg;28/04/2015 03:01;3;14;0
86;3/Y2015M04D28h03m01s26PTZ2.jpg;28/04/2015 03:01;3;14;0
87;3/Y2015M04D28h03m01s26PTZ3.jpg;28/04/2015 03:01;3;14;0
88;3/Y2015M04D28h03m01s26PTZ4.jpg;28/04/2015 03:01;3;14;0
84;3/Y2015M04D28h03m01s26PTZ1.jpg;28/04/2015 03:01;3;14;0
90;3/Y2015M04D28h03m01s26PTZ6.jpg;28/04/2015 03:01;3;14;0
91;3/Y2015M04D28h03m01s26PTZ7.jpg;28/04/2015 03:01;3;14;0
92;3/Y2015M04D28h03m01s26PTZ8.jpg;28/04/2015 03:01;3;14;0
93;3/Y2015M04D28h03m01s26PTZ9.jpg;28/04/2015 03:01;3;14;0
89;3/Y2015M04D28h03m01s26PTZ5.jpg;28/04/2015 03:01;3;14;0
94;3/Y2015M05D06h12m12s09PTZ1.jpg;06/05/2015 12:12;3;14;1
95;3/Y2015M05D06h12m12s09PTZ2.jpg;06/05/2015 12:12;3;14;1
98;3/Y2015M05D07h10m50s55PTZ3.jpg;07/05/2015 10:50;3;14;2
97;3/Y2015M05D07h10m50s55PTZ2.jpg;07/05/2015 10:50;3;14;2
96;3/Y2015M05D07h10m50s55PTZ1.jpg;07/05/2015 10:50;3;14;2
99;3/Y2015M05D11h07m09s21PTZ1.jpg;11/05/2015 07:09;3;14;3
101;3/Y2015M05D11h07m09s21PTZ3.jpg;11/05/2015 07:09;3;14;3
102;3/Y2015M05D11h07m09s21PTZ4.jpg;11/05/2015 07:09;3;14;3
106;3/Y2015M05D11h07m09s21PTZ8.jpg;11/05/2015 07:09;3;14;3
104;3/Y2015M05D11h07m09s21PTZ6.jpg;11/05/2015 07:09;3;14;3
105;3/Y2015M05D11h07m09s21PTZ7.jpg;11/05/2015 07:09;3;14;3
107;3/Y2015M05D11h07m09s21PTZ9.jpg;11/05/2015 07:09;3;14;3
103;3/Y2015M05D11h07m09s21PTZ5.jpg;11/05/2015 07:09;3;14;3
100;3/Y2015M05D11h07m09s21PTZ2.jpg;11/05/2015 07:09;3;14;3
111;4/Y2015M04D28h12m10s51PTZ4.jpg;28/04/2015 12:10;4;14;0
108;4/Y2015M04D28h12m10s51PTZ1.jpg;28/04/2015 12:10;4;14;0
109;4/Y2015M04D28h12m10s51PTZ2.jpg;28/04/2015 12:10;4;14;0
110;4/Y2015M04D28h12m10s51PTZ3.jpg;28/04/2015 12:10;4;14;0
112;4/Y2015M04D29h12m20s22PTZ1.jpg;29/04/2015 12:20;4;14;1
113;4/Y2015M04D29h12m20s22PTZ2.jpg;29/04/2015 12:20;4;14;1
114;4/Y2015M04D29h12m20s22PTZ3.jpg;29/04/2015 12:20;4;14;1
115;4/Y2015M04D30h04m05s32PTZ1.jpg;30/04/2015 04:05;4;14;2
